Feature,Importance
path_length,0.13187244565649167
tld_length,0.08884249832561782
num_slashes,0.08613373434878614
domain_length,0.08118789093889359
url_entropy,0.06992326728861753
path_depth,0.06097431969122814
num_letters,0.05669476385903973
url_length,0.05620414703387017
num_dots,0.05433766685550587
has_https,0.04489740047879037
num_digits,0.04486109486597596
special_char_ratio,0.04477546333093979
num_hyphens,0.04001571311206738
digit_ratio,0.038280254072368035
num_subdomains,0.03585229418221969
has_www,0.01611395612849709
num_underscores,0.01136446448046575
num_query_params,0.007870298221759504
num_equals,0.00785444007583104
num_question_marks,0.007603452194017934
has_suspicious_words,0.0061044853812302355
num_at_symbols,0.0031552822299463893
num_ampersands,0.002532989206268516
has_ip_address,0.0010844010532069163
has_port,0.0005122568882616444
has_brand_in_domain,0.0004314219760520693
num_hash,0.00021454399295433901
has_typosquatting,0.0001589355718646799
has_shortener,0.00010502943656862239
has_double_slash_redirect,4.1089122663330454e-05
