Model,Family,Accuracy,Precision,Recall,F1,ROC-AUC,Train_Time_s,Predict_Time_s,Notes
LogisticRegression,LogisticRegression,0.7712,0.7624,0.7521,0.7572,0.8493,0.207,0.004,
RandomForest,RandomForestClassifier,0.8626,0.8793,0.8234,0.8504,0.9435,1.291,0.142,
GradientBoosting,GradientBoostingClassifier,0.8772,0.8921,0.8432,0.8669,0.9517,17.452,0.058,
GaussianNB,GaussianNB,0.5855,0.9118,0.1395,0.242,0.847,0.032,0.007,
VotingEnsemble,ensemble,0.8706,0.8832,0.8381,0.86,0.945,16.186,0.176,"Soft-vote of GradientBoosting, RandomForest, LogisticRegression"
