name,family,accuracy,precision,recall,f1,roc_auc,train_time_s,predict_time_s,notes
MultinomialNB,base,0.962709,1.000000,0.680672,0.810000,0.974024,0.27,0.031,""
ComplementNB,base,0.972522,0.895652,0.865546,0.880342,0.974024,0.239,0.036,""
LogisticRegression,base,0.961727,1.000000,0.672269,0.804020,0.985294,0.325,0.038,""
LinearSVC,base,0.986261,1.000000,0.882353,0.937500,0.986153,0.301,0.056,""
RandomForest,base,0.973503,0.989362,0.781513,0.873239,0.990654,1.984,0.217,""
GradientBoosting,base,0.957802,0.952381,0.672269,0.788177,0.959585,4.148,0.044,""
SoftVoting,ensemble,0.982336,1.000000,0.848739,0.918182,0.982876,5.492,0.059,"ensemble of NB + CNB + LR + SVM/GBDT"
Stacking,ensemble,0.982336,0.990291,0.857143,0.918919,0.979785,28.181,0.058,"ensemble of NB + CNB + LR + SVM/GBDT"
